date,season,home_team,away_team,home_score,away_score
2015-10-27,2015-2016,Chicago Bulls,Cleveland Cavaliers,97,95
2015-10-27,2015-2016,Atlanta Hawks,Detroit Pistons,94,106
2015-10-27,2015-2016,Golden State Warriors,New Orleans Pelicans,111,95
2015-10-28,2015-2016,Los Angeles Lakers,Minnesota Timberwolves,111,112
2015-10-28,2015-2016,Sacramento Kings,Los Angeles Clippers,104,111
2015-10-28,2015-2016,Portland Trail Blazers,New Orleans Pelicans,112,94
2015-10-28,2015-2016,Phoenix Suns,Dallas Mavericks,95,111
2015-10-28,2015-2016,Memphis Grizzlies,Cleveland Cavaliers,76,106
2015-10-28,2015-2016,Oklahoma City Thunder,San Antonio Spurs,112,106
2015-10-28,2015-2016,Houston Rockets,Denver Nuggets,85,105
2015-10-28,2015-2016,Miami Heat,Charlotte Hornets,104,94
2015-10-28,2015-2016,Toronto Raptors,Indiana Pacers,106,99
2015-10-28,2015-2016,Detroit Pistons,Utah Jazz,92,87
2015-10-28,2015-2016,Brooklyn Nets,Chicago Bulls,100,115
2015-10-28,2015-2016,Boston Celtics,Philadelphia 76ers,112,95
2015-10-28,2015-2016,Orlando Magic,Washington Wizards,87,88
2015-10-28,2015-2016,Milwaukee Bucks,New York Knicks,97,122
2015-10-29,2015-2016,Indiana Pacers,Memphis Grizzlies,103,112
2015-10-29,2015-2016,New York Knicks,Atlanta Hawks,101,112
2015-10-29,2015-2016,Los Angeles Clippers,Dallas Mavericks,104,88
2015-10-30,2015-2016,San Antonio Spurs,Brooklyn Nets,102,75
2015-10-30,2015-2016,Phoenix Suns,Portland Trail Blazers,110,92
2015-10-30,2015-2016,Sacramento Kings,Los Angeles Lakers,132,114
2015-10-30,2015-2016,Houston Rockets,Golden State Warriors,92,112
2015-10-30,2015-2016,Denver Nuggets,Minnesota Timberwolves,78,95
2015-10-30,2015-2016,Milwaukee Bucks,Washington Wizards,113,118
2015-10-30,2015-2016,Cleveland Cavaliers,Miami Heat,102,92
2015-10-30,2015-2016,Detroit Pistons,Chicago Bulls,98,94
2015-10-30,2015-2016,Boston Celtics,Toronto Raptors,103,113
2015-10-30,2015-2016,Orlando Magic,Oklahoma City Thunder,136,139
2015-10-30,2015-2016,Philadelphia 76ers,Utah Jazz,71,99
2015-10-30,2015-2016,Atlanta Hawks,Charlotte Hornets,97,94
2015-10-31,2015-2016,Indiana Pacers,Utah Jazz,76,97
2015-10-31,2015-2016,Washington Wizards,New York Knicks,110,117
2015-10-31,2015-2016,New Orleans Pelicans,Golden State Warriors,120,134
2015-10-31,2015-2016,Memphis Grizzlies,Brooklyn Nets,101,91
2015-10-31,2015-2016,Portland Trail Blazers,Phoenix Suns,90,101
2015-10-31,2015-2016,Los Angeles Clippers,Sacramento Kings,114,109
2015-11-01,2015-2016,Chicago Bulls,Orlando Magic,92,87
2015-11-01,2015-2016,Los Angeles Lakers,Dallas Mavericks,93,103
2015-11-01,2015-2016,Toronto Raptors,Milwaukee Bucks,106,87
2015-11-01,2015-2016,Oklahoma City Thunder,Denver Nuggets,117,93
2015-11-01,2015-2016,Boston Celtics,San Antonio Spurs,87,95
2015-11-01,2015-2016,Charlotte Hornets,Atlanta Hawks,92,94
2015-11-01,2015-2016,Miami Heat,Houston Rockets,109,89
2015-11-02,2015-2016,Philadelphia 76ers,Cleveland Cavaliers,100,107
2015-11-02,2015-2016,Brooklyn Nets,Milwaukee Bucks,96,103
